"medicine_name","category","rxcui","source"
"2,4,5-t dimethylammonium","RxNav Ingredient","2370886","RxNav"
"2,4,5-t triethylammonium","RxNav Ingredient","2608946","RxNav"
"2,4,5-t-isopropyl","RxNav Ingredient","2383538","RxNav"
"2,4,5-t-trolamine","RxNav Ingredient","1947504","RxNav"
"2,4,6,8-tetramethyl-2,4,6,8-tetravinylcyclotetrasiloxane","RxNav Ingredient","1810870","RxNav"
"2,4,6,8-tetramethyltetraphenylcyclotetrasiloxane, (2.alpha.,4.alpha.,6.beta.,8.beta.)-","RxNav Ingredient","2550704","RxNav"
"2,4-d diethylethanolamine","RxNav Ingredient","2569561","RxNav"
"2,4-d morpholine","RxNav Ingredient","2370888","RxNav"
"2,4-d-trolamine","RxNav Ingredient","2047869","RxNav"
"2,4-diamino-5-methylphenoxyethanol","RxNav Ingredient","1737336","RxNav"
"2,4-diaminophenoxyethanol","RxNav Ingredient","1740235","RxNav"
"2,4-dichlorophenoxyacetate","RxNav Ingredient","1371449","RxNav"
"2,4-dimethyl-3-cyclohexene carboxaldehyde","RxNav Ingredient","2376941","RxNav"
"2,4-dimethylnonan-4-ol","RxNav Ingredient","2557377","RxNav"
"2,5-di-tert-pentylhydroquinone","RxNav Ingredient","1593448","RxNav"
"2,5-diaminotoluene","RxNav Ingredient","1482535","RxNav"
"2,5-dimethylbenzene-1-sulfonate","RxNav Ingredient","1370663","RxNav"
"2,5-piperazinedione","RxNav Ingredient","1313303","RxNav"
"2,6,10-trimethyl-9-undecenal","RxNav Ingredient","2378834","RxNav"
"2,6-di-tert-butyl-4-((methylthio)methyl)phenol","RxNav Ingredient","1648688","RxNav"
"2,6-di-tert-butyl-4-methoxyphenol","RxNav Ingredient","1648689","RxNav"
"2,6-dimethyl-5-heptenal","RxNav Ingredient","1552361","RxNav"
"2,6-dimethyloctan-2-ol","RxNav Ingredient","2700155","RxNav"
"2,6-octadienal, (2e,6e)-","RxNav Ingredient","1788867","RxNav"
"2-((dimethylamino)methyl)-1,3-diphenyl-1-propanol, erythro-","RxNav Ingredient","2289003","RxNav"
"2-(1-chlorocyclopropyl)-3-(2-chlorophenyl)-1,2-propanediol","RxNav Ingredient","2058840","RxNav"
"2-(1-methylbutyl)phenol","RxNav Ingredient","2691520","RxNav"
"2-(2-(2-(2-phenoxyethoxy)ethoxy)ethoxy)ethanol","RxNav Ingredient","1655970","RxNav"
"2-(2-(2-bornyloxy)ethoxy)triethylamine","RxNav Ingredient","2049451","RxNav"
"2-(2-(2-hydroxypropoxy)propoxy)-1-propanol","RxNav Ingredient","2359259","RxNav"
"2-(2-(4-methylcyclohex-3-en-1-yl)propyl)cyclopentan-1-one","RxNav Ingredient","2395764","RxNav"
"2-(2-aminoethoxy)ethanol","RxNav Ingredient","1737111","RxNav"
"2-(2-ethylhexyloxy)ethanol","RxNav Ingredient","2288811","RxNav"
"2-(3-oxazolidinyl)ethyl methacrylate","RxNav Ingredient","1356132","RxNav"
"2-(4-(diethylamino)-2-hydroxybenzoyl)benzoic acid","RxNav Ingredient","1307085","RxNav"
"2-(bis(2-methylpropyl)phenoxy)-ethanol","RxNav Ingredient","1606492","RxNav"
"2-(cyclohexylamino)ethanesulfonic acid","RxNav Ingredient","2049985","RxNav"
"2-(dibutylamino)ethyl methacrylate","RxNav Ingredient","2550705","RxNav"
"2-(dipropylamino)ethanol","RxNav Ingredient","1995246","RxNav"
"2-(l-menthoxy)ethanol","RxNav Ingredient","1428832","RxNav"
"2-(methylamino)ethanol","RxNav Ingredient","2359260","RxNav"
"2-(mpeg 2000)-n,n-ditetradecylacetamide","RxNav Ingredient","2599922","RxNav"
"2-(n-morpholino)ethanesulfonic acid","RxNav Ingredient","2360130","RxNav"
"2-(perfluorohexyl)ethanethiol","RxNav Ingredient","2672488","RxNav"
"2-(perfluorohexyl)ethanol","RxNav Ingredient","1986349","RxNav"
"2-(phosphonooxy)- 2-propenoate","RxNav Ingredient","2385889","RxNav"
"2-acetonaphthone","RxNav Ingredient","2378835","RxNav"
"2-acetoxy-1, 8-cineole, (+)-endo-","RxNav Ingredient","2386028","RxNav"
"2-acrylamido-2-methyl-1-propanesulfonic acid","RxNav Ingredient","2109231","RxNav"
"2-amino-1,3-propanediol","RxNav Ingredient","2467839","RxNav"
"2-amino-1-butanol","RxNav Ingredient","2588247","RxNav"
"2-amino-2-ethyl-1,3-propanediol","RxNav Ingredient","1539638","RxNav"
"2-amino-2-methyl-1-propanol","RxNav Ingredient","1310544","RxNav"
"2-amino-5-nitrothiazole","RxNav Ingredient","1665683","RxNav"
"2-aminophenol","RxNav Ingredient","1740241","RxNav"
"2-azetidinecarboxylic acid, (+)-","RxNav Ingredient","2397715","RxNav"
"2-benzylheptanol","RxNav Ingredient","1489294","RxNav"
"2-bromo-2-methylpropane","RxNav Ingredient","2387544","RxNav"
"2-bromo-2-nitroethanol","RxNav Ingredient","1648134","RxNav"
"2-bromobutane","RxNav Ingredient","1922903","RxNav"
"2-butanoyloxybenzoate","RxNav Ingredient","1373216","RxNav"
"2-butoxyethanol","RxNav Ingredient","2385885","RxNav"
"2-butylaminoethanol","RxNav Ingredient","2373963","RxNav"
"2-butyloctyl methacrylate","RxNav Ingredient","1544967","RxNav"
"2-carboxyethyl acrylate","RxNav Ingredient","2286249","RxNav"
"2-chloro-4,5-dimethylphenol","RxNav Ingredient","2286250","RxNav"
"2-deoxyglucose","RxNav Ingredient","1733674","RxNav"
"2-diethylaminoethanol","RxNav Ingredient","1433902","RxNav"
"2-ethoxyethanol","RxNav Ingredient","1314365","RxNav"
"2-ethyl-1,6-hexanediol","RxNav Ingredient","1428859","RxNav"
"2-ethyl-4-(2,2,3-trimethylcyclopent-3-en-1-yl)but-2-en-1-ol","RxNav Ingredient","2589801","RxNav"
"2-ethylaminoethanol","RxNav Ingredient","1313220","RxNav"
"2-ethylhexanoic acid","RxNav Ingredient","1305517","RxNav"
"2-ethylhexanol","RxNav Ingredient","2394645","RxNav"
